sustainability_rating,eco_friendly_manufacturing,carbon_footprint,water_usage,waste_production,recycling_programs,average_price,product_nameproduct_category,sustainability_status,eco_index,sustainability_level,brand_name,brand_category,country_name,region,year,material_type,renewable,product_line,target_audience,market_trend,trend_score,certification,cert_type
4.8,1,3.24,1103,3.49,0,28.28,EcoTowel - Personal Care,Partially Sustainable,4.649,Medium,GreenWorks,Startup,Brazil,Americas,2020,Hemp,Yes,Personal Care,Adults,Declining,1,Cradle to Cradle,Environmental
3.92,1,21.61,173,4.39,1,28.42,BioTowel - Garden,Partially Sustainable,6.447,High,EcoMate,Startup,Italy,Europe,2025,Organic Cotton,Yes,Garden,Household,Rising,3,None,None
3.6,1,37.79,2626,1.44,0,63.0,EcoJar - Packaging,Partially Sustainable,2.613,Low,GreenWave,Startup,Germany,Europe,2022,Bioplastic,Yes,Packaging,Business,Stable,2,Energy Star,Energy
1.74,0,29.26,1385,8.21,0,3.06,EcoPack - Home,Not Sustainable,1.346,Low,GreenWorks,Startup,Vietnam,Asia,2023,Organic Cotton,Yes,Home,Household,Declining,1,None,None
3.31,1,12.99,210,10.0,0,33.46,GreenCup - Home,Partially Sustainable,2.929,Low,PureCycle,Local,Egypt,Africa,2024,Bamboo,Yes,Home,Household,Declining,1,ISO14001,Environmental
2.88,0,59.48,702,10.54,1,33.24,BioTowel - Packaging,Not Sustainable,3.612,Medium,NatureNest,Local,USA,Americas,2024,Recycled Plastic,Partial,Packaging,Business,Rising,3,None,None
2.75,0,14.37,1238,9.02,0,22.19,ReShirt - Electronics Accessories,Not Sustainable,2.404,Low,EnviroGoods,Startup,Vietnam,Asia,2018,Recycled Plastic,Partial,Electronics Accessories,Business,Rising,3,EU Ecolabel,Environmental
3.61,1,69.73,191,7.17,1,28.07,EcoTowel - Office Supplies,Partially Sustainable,4.254,Medium,EcoMate,Startup,Egypt,Africa,2020,Stainless Steel,No,Office Supplies,Business,Declining,1,Rainforest Alliance,Environmental
3.3,0,63.99,1153,9.7,0,47.58,ReBrush - Personal Care,Not Sustainable,2.012,Low,EcoSense,Local,China,Asia,2021,Bioplastic,Yes,Personal Care,Adults,Stable,2,Fair Trade,Ethical
3.52,1,39.49,276,5.98,0,28.25,EcoCup - Packaging,Partially Sustainable,2.523,Low,EcoCraft,Multinational,Italy,Europe,2023,Paperboard,Yes,Packaging,Business,Stable,2,ISO14001,Environmental
3.59,1,35.45,147,28.94,1,15.81,PureToy - Toys,Partially Sustainable,5.301,Medium,BluePlanet,Multinational,Germany,Europe,2022,Hemp,Yes,Toys,Kids,Rising,3,FSC,Environmental
2.41,0,88.69,1446,9.77,0,28.53,ReTowel - Electronics Accessories,Not Sustainable,1.277,Low,EcoCraft,Multinational,Turkey,Asia,2019,Aluminum,Partial,Electronics Accessories,Business,Rising,3,ISO14001,Environmental
3.49,0,8.21,443,2.44,0,44.53,PureTowel - Clothing,Not Sustainable,3.225,Medium,EcoSense,Local,France,Europe,2018,Paperboard,Yes,Clothing,Adults,Rising,3,Energy Star,Energy
3.37,0,9.15,285,6.67,0,20.24,BioToy - Kitchenware,Not Sustainable,3.087,Medium,ReNewCo,Local,India,Asia,2025,Bioplastic,Yes,Kitchenware,Household,Declining,1,Cradle to Cradle,Environmental
2.76,1,32.0,675,3.29,0,15.53,PurePack - Toys,Not Sustainable,2.091,Low,BluePlanet,Multinational,India,Asia,2019,Aluminum,Partial,Toys,Kids,Rising,3,ISO14001,Environmental
3.71,1,4.43,69,2.25,0,28.9,BioBar - Electronics Accessories,Partially Sustainable,3.553,Medium,EcoSense,Local,India,Asia,2024,Stainless Steel,No,Electronics Accessories,Business,Stable,2,ISO14001,Environmental
3.78,1,80.75,1038,3.67,0,32.51,ReJar - Office Supplies,Partially Sustainable,2.091,Low,PlanetWell,Local,Egypt,Africa,2023,Bamboo,Yes,Office Supplies,Business,Stable,2,Fair Trade,Ethical
2.6,0,25.83,373,7.17,0,8.59,GreenShirt - Personal Care,Not Sustainable,2.066,Low,BioBloom,Local,Egypt,Africa,2024,Aluminum,Partial,Personal Care,Adults,Rising,3,EU Ecolabel,Environmental
3.97,1,80.78,307,5.86,0,45.05,EcoPack - Personal Care,Partially Sustainable,2.196,Low,TerraLeaf,Local,Brazil,Americas,2022,Recycled Plastic,Partial,Personal Care,Adults,Rising,3,Energy Star,Energy
3.14,0,28.0,456,5.26,0,14.8,BioBottle - Garden,Not Sustainable,2.453,Low,BioBloom,Local,France,Europe,2021,Glass,Partial,Garden,Household,Stable,2,EU Ecolabel,Environmental
3.52,1,32.85,2287,10.58,1,62.5,PureBrush - Home,Partially Sustainable,5.299,Medium,VerdeVibe,Local,Vietnam,Asia,2016,Glass,Partial,Home,Household,Rising,3,ISO14001,Environmental
2.81,0,59.11,618,36.92,0,10.98,BioCup - Packaging,Not Sustainable,1.766,Low,TerraLeaf,Local,USA,Americas,2015,Hemp,Yes,Packaging,Business,Rising,3,ISO14001,Environmental
2.74,0,13.85,39,3.25,0,11.01,TerraPack - Electronics Accessories,Not Sustainable,2.407,Low,BluePlanet,Multinational,China,Asia,2025,Glass,Partial,Electronics Accessories,Business,Stable,2,None,None
3.64,1,27.11,3675,10.25,0,22.75,GreenCup - Packaging,Partially Sustainable,2.864,Low,EarthKind,Local,India,Asia,2017,Recycled Plastic,Partial,Packaging,Business,Stable,2,GOTS,Environmental
2.69,0,41.88,105,27.39,1,39.59,TerraCup - Clothing,Not Sustainable,3.792,Medium,EnviroGoods,Startup,India,Asia,2023,Stainless Steel,No,Clothing,Adults,Stable,2,EU Ecolabel,Environmental
3.08,0,4.11,2323,4.4,0,44.37,PureJar - Packaging,Not Sustainable,2.958,Low,GreenWorks,Startup,China,Asia,2018,Organic Cotton,Yes,Packaging,Business,Declining,1,None,None
2.07,1,16.94,623,6.22,0,8.95,BioTowel - Garden,Not Sustainable,1.77,Low,GreenRoots,Local,Spain,Europe,2022,Aluminum,Partial,Garden,Household,Rising,3,None,None
4.06,0,5.84,287,4.46,1,43.32,TerraBottle - Garden,Partially Sustainable,7.672,High,GreenWave,Startup,Turkey,Asia,2025,Recycled Plastic,Partial,Garden,Household,Stable,2,EU Ecolabel,Environmental
4.14,1,5.38,52,12.45,0,41.38,ReBrush - Kitchenware,Partially Sustainable,3.929,Medium,BluePlanet,Multinational,China,Asia,2020,Aluminum,Partial,Kitchenware,Household,Declining,1,None,None
2.83,0,115.83,566,14.81,0,24.31,EcoPack - Garden,Not Sustainable,1.311,Low,BluePlanet,Multinational,Brazil,Americas,2015,Glass,Partial,Garden,Household,Declining,1,None,None
5.0,1,74.09,190,7.96,0,54.68,ReBar - Home,Partially Sustainable,2.872,Low,EcoCraft,Multinational,France,Europe,2017,Aluminum,Partial,Home,Household,Rising,3,ISO14001,Environmental
4.73,1,5.29,635,9.08,1,15.92,ReBar - Home,Fully Sustainable,8.985,High,PlanetWell,Local,France,Europe,2015,Stainless Steel,No,Home,Household,Stable,2,GOTS,Environmental
2.44,0,3.59,401,10.57,0,41.94,GreenBrush - Garden,Not Sustainable,2.355,Low,EcoSense,Local,Vietnam,Asia,2019,Stainless Steel,No,Garden,Household,Stable,2,ISO14001,Environmental
3.57,1,100.24,75,0.95,1,29.87,BioBrush - Home,Partially Sustainable,3.566,Medium,EarthKind,Local,Brazil,Americas,2018,Stainless Steel,No,Home,Household,Stable,2,EU Ecolabel,Environmental
3.85,0,17.5,30,3.86,1,13.93,TerraJar - Garden,Partially Sustainable,6.553,High,EcoCraft,Multinational,Egypt,Africa,2019,Aluminum,Partial,Garden,Household,Rising,3,FSC,Environmental
4.1,1,24.21,109,2.5,0,20.11,TerraTowel - Electronics Accessories,Partially Sustainable,3.301,Medium,NatureNest,Local,Turkey,Asia,2023,Stainless Steel,No,Electronics Accessories,Business,Declining,1,ISO14001,Environmental
3.44,0,53.15,125,7.14,0,21.45,GreenBottle - Kitchenware,Not Sustainable,2.246,Low,ReNewCo,Local,Brazil,Americas,2015,Bioplastic,Yes,Kitchenware,Household,Stable,2,Fair Trade,Ethical
2.79,0,22.33,144,3.14,0,4.93,EcoBar - Garden,Not Sustainable,2.281,Low,EarthKind,Local,France,Europe,2024,Bioplastic,Yes,Garden,Household,Rising,3,None,None
5.0,1,13.27,111,4.03,0,43.32,ReShirt - Toys,Partially Sustainable,4.414,Medium,LeafyLiving,Multinational,Spain,Europe,2017,Recycled Plastic,Partial,Toys,Kids,Declining,1,EU Ecolabel,Environmental
3.3,0,39.42,1063,2.89,0,19.36,TerraShirt - Garden,Not Sustainable,2.367,Low,GreenWave,Startup,Spain,Europe,2023,Hemp,Yes,Garden,Household,Declining,1,None,None
3.25,0,2.17,70,16.12,0,52.17,GreenBar - Kitchenware,Not Sustainable,3.181,Medium,ReNewCo,Local,Spain,Europe,2025,Aluminum,Partial,Kitchenware,Household,Rising,3,GOTS,Environmental
3.28,0,38.19,626,74.81,0,44.59,PureBrush - Toys,Not Sustainable,2.374,Low,PlanetWell,Local,Egypt,Africa,2015,Bioplastic,Yes,Toys,Kids,Stable,2,Fair Trade,Ethical
3.38,1,8.01,60,5.51,1,17.45,GreenBar - Kitchenware,Partially Sustainable,6.259,High,LeafyLiving,Multinational,Italy,Europe,2025,Bamboo,Yes,Kitchenware,Household,Declining,1,ISO14001,Environmental
2.22,0,15.45,161,26.43,0,30.42,EcoJar - Garden,Not Sustainable,1.923,Low,ReNewCo,Local,UK,Europe,2025,Aluminum,Partial,Garden,Household,Stable,2,ISO14001,Environmental
3.49,0,88.49,444,2.07,0,52.75,GreenShirt - Packaging,Not Sustainable,1.852,Low,NatureNest,Local,Italy,Europe,2019,Hemp,Yes,Packaging,Business,Rising,3,EU Ecolabel,Environmental
3.99,1,6.15,277,1.85,0,14.16,BioBottle - Packaging,Partially Sustainable,3.759,Medium,ReNewCo,Local,Brazil,Americas,2024,Bioplastic,Yes,Packaging,Business,Rising,3,EU Ecolabel,Environmental
4.33,0,105.68,58,6.3,0,28.54,PurePack - Electronics Accessories,Not Sustainable,2.105,Low,EcoMate,Startup,Spain,Europe,2015,Paperboard,Yes,Electronics Accessories,Business,Declining,1,Rainforest Alliance,Environmental
3.06,0,12.67,163,5.11,0,13.14,EcoToy - Clothing,Not Sustainable,2.716,Low,VerdeVibe,Local,India,Asia,2025,Bamboo,Yes,Clothing,Adults,Stable,2,FSC,Environmental
3.74,1,17.77,281,1.89,1,23.75,TerraBrush - Personal Care,Partially Sustainable,6.351,High,EarthKind,Local,China,Asia,2019,Bioplastic,Yes,Personal Care,Adults,Declining,1,Rainforest Alliance,Environmental
4.18,0,27.03,101,4.28,1,48.07,EcoBar - Toys,Partially Sustainable,6.581,High,EcoCraft,Multinational,USA,Americas,2019,Paperboard,Yes,Toys,Kids,Rising,3,FSC,Environmental
2.0,0,54.24,285,10.11,0,3.55,EcoCup - Toys,Not Sustainable,1.297,Low,ReNewCo,Local,Spain,Europe,2025,Hemp,Yes,Toys,Kids,Rising,3,None,None
1.88,0,6.41,694,7.83,0,0.24,EcoPack - Kitchenware,Not Sustainable,1.767,Low,Earthly,Local,China,Asia,2022,Bioplastic,Yes,Kitchenware,Household,Declining,1,EU Ecolabel,Environmental
4.07,1,3.21,314,1.34,0,25.92,ReCup - Home,Partially Sustainable,3.943,Medium,EcoSense,Local,Egypt,Africa,2024,Stainless Steel,No,Home,Household,Declining,1,FSC,Environmental
3.54,0,8.39,251,11.0,1,21.75,PureBrush - Garden,Partially Sustainable,6.532,High,LeafyLiving,Multinational,China,Asia,2017,Organic Cotton,Yes,Garden,Household,Rising,3,GOTS,Environmental
4.25,1,5.18,608,14.12,0,0.43,GreenShirt - Office Supplies,Partially Sustainable,4.041,Medium,EarthKind,Local,Brazil,Americas,2022,Bioplastic,Yes,Office Supplies,Business,Stable,2,Fair Trade,Ethical
2.78,1,44.39,392,7.23,0,13.74,BioShirt - Garden,Not Sustainable,1.925,Low,EcoSense,Local,Italy,Europe,2021,Aluminum,Partial,Garden,Household,Stable,2,ISO14001,Environmental
3.58,1,16.78,1599,5.55,1,35.86,RePack - Home,Partially Sustainable,6.131,High,NatureNest,Local,France,Europe,2025,Bioplastic,Yes,Home,Household,Stable,2,GOTS,Environmental
3.13,1,13.78,268,6.88,1,19.99,PurePack - Electronics Accessories,Partially Sustainable,5.502,Medium,VerdeVibe,Local,Egypt,Africa,2015,Bioplastic,Yes,Electronics Accessories,Business,Rising,3,Cradle to Cradle,Environmental
3.76,1,148.03,1061,3.17,0,50.62,PureShirt - Personal Care,Partially Sustainable,1.516,Low,ReNewCo,Local,Turkey,Asia,2017,Organic Cotton,Yes,Personal Care,Adults,Declining,1,Energy Star,Energy
3.13,0,2.92,134,0.9,1,21.03,BioBottle - Toys,Partially Sustainable,6.082,High,GreenWorks,Startup,USA,Americas,2015,Bioplastic,Yes,Toys,Kids,Rising,3,Fair Trade,Ethical
3.52,1,106.74,593,3.66,1,42.64,TerraShirt - Garden,Partially Sustainable,3.405,Medium,EarthKind,Local,Vietnam,Asia,2021,Stainless Steel,No,Garden,Household,Stable,2,Cradle to Cradle,Environmental
1.51,0,46.18,1848,1.76,0,27.26,ReBottle - Office Supplies,Not Sustainable,1.033,Low,BluePlanet,Multinational,France,Europe,2018,Organic Cotton,Yes,Office Supplies,Business,Stable,2,None,None
3.8,1,12.12,787,32.58,1,35.73,BioBar - Garden,Partially Sustainable,6.778,High,EcoPure,Local,UK,Europe,2021,Hemp,Yes,Garden,Household,Rising,3,GOTS,Environmental
3.72,1,11.88,136,9.05,1,19.36,TerraTowel - Office Supplies,Partially Sustainable,6.65,High,TerraLeaf,Local,USA,Americas,2019,Stainless Steel,No,Office Supplies,Business,Stable,2,FSC,Environmental
3.56,1,12.24,703,5.98,1,46.16,BioJar - Garden,Partially Sustainable,6.344,High,BioBloom,Local,Vietnam,Asia,2016,Stainless Steel,No,Garden,Household,Rising,3,EU Ecolabel,Environmental
3.04,0,17.6,143,3.29,0,31.06,EcoShirt - Toys,Not Sustainable,2.585,Low,EnviroGoods,Startup,Brazil,Americas,2016,Bioplastic,Yes,Toys,Kids,Rising,3,FSC,Environmental
4.18,1,6.51,934,13.25,1,43.0,TerraBrush - Personal Care,Fully Sustainable,7.849,High,TerraLeaf,Local,China,Asia,2021,Recycled Plastic,Partial,Personal Care,Adults,Declining,1,None,None
5.0,1,5.91,57,0.67,0,67.44,BioCup - Kitchenware,Partially Sustainable,4.721,Medium,Earthly,Local,Turkey,Asia,2025,Recycled Plastic,Partial,Kitchenware,Household,Declining,1,None,None
4.09,1,15.92,472,1.45,0,72.59,TerraToy - Electronics Accessories,Partially Sustainable,3.528,Medium,NatureNest,Local,China,Asia,2024,Stainless Steel,No,Electronics Accessories,Business,Rising,3,Rainforest Alliance,Environmental
3.62,0,21.62,929,6.75,0,34.56,EcoBar - Office Supplies,Not Sustainable,2.976,Low,BioBloom,Local,India,Asia,2024,Glass,Partial,Office Supplies,Business,Rising,3,Energy Star,Energy
2.79,0,39.82,4776,17.34,1,46.8,EcoBar - Personal Care,Not Sustainable,3.991,Medium,EcoCraft,Multinational,Vietnam,Asia,2019,Bioplastic,Yes,Personal Care,Adults,Declining,1,None,None
3.04,0,8.57,398,5.17,0,41.81,ReToy - Personal Care,Not Sustainable,2.8,Low,GreenWorks,Startup,China,Asia,2023,Glass,Partial,Personal Care,Adults,Stable,2,Energy Star,Energy
1.98,1,146.28,526,4.14,0,0.38,BioJar - Clothing,Not Sustainable,0.804,Low,EcoMate,Startup,Italy,Europe,2016,Organic Cotton,Yes,Clothing,Adults,Declining,1,None,None
2.01,0,71.53,688,1.89,1,4.33,GreenShirt - Office Supplies,Not Sustainable,2.344,Low,LeafyLiving,Multinational,UK,Europe,2024,Paperboard,Yes,Office Supplies,Business,Rising,3,EU Ecolabel,Environmental
3.2,0,116.63,323,1.23,0,23.31,EcoPack - Electronics Accessories,Not Sustainable,1.477,Low,PlanetWell,Local,Spain,Europe,2025,Paperboard,Yes,Electronics Accessories,Business,Stable,2,None,None
